IP: 122.15.146.120 TIME: 2018-01-23 09:20:31 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-01-23 09:20:31 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-23 13:32:49 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-01-23 13:32:50 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-01-23 13:33:22 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-23 13:35:46 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-01-23 13:35:46 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-01-23 13:36:03 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-23 14:18:24 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-01-23 14:18:25 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-01-23 14:18:57 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
