IP: 122.15.146.120 TIME: 2017-09-28 09:23:03 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2017-09-28 09:23:04 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 42.104.85.43 TIME: 2017-09-28 13:35:35 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 42.104.85.43 TIME: 2017-09-28 13:36:04 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action : Admin Login
IP: 42.104.85.43 TIME: 2017-09-28 13:36:05 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 42.104.85.43 TIME: 2017-09-28 13:36:31 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :PONO272 view
IP: 42.104.85.43 TIME: 2017-09-28 13:38:01 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 42.104.85.43 TIME: 2017-09-28 13:43:31 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action : Purchase order_272 has been downloaded as pdf
IP: 42.104.85.43 TIME: 2017-09-28 14:02:46 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :PONO280 view
IP: 42.104.85.43 TIME: 2017-09-28 14:04:13 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 42.104.85.43 TIME: 2017-09-28 14:05:01 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action : Purchase order_280 has been downloaded as pdf
IP: 42.104.85.43 TIME: 2017-09-28 14:17:21 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :PONO282 view
IP: 42.104.85.43 TIME: 2017-09-28 14:18:12 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 42.104.85.43 TIME: 2017-09-28 14:26:28 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :PONO283 view
IP: 42.104.85.43 TIME: 2017-09-28 14:26:29 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :PONO283 view
IP: 42.104.85.43 TIME: 2017-09-28 14:26:29 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :PONO283 view
IP: 42.104.85.43 TIME: 2017-09-28 14:27:09 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 42.104.85.43 TIME: 2017-09-28 14:27:19 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :PONO282 view
IP: 42.104.85.43 TIME: 2017-09-28 14:27:47 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 42.104.85.43 TIME: 2017-09-28 14:29:14 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Logout
IP: 122.15.146.120 TIME: 2017-09-28 17:26:42 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2017-09-28 17:26:52 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2017-09-28 17:26:52 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-09-28 17:27:03 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2017-09-28 17:27:03 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2017-09-28 17:27:30 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-09-28 17:29:38 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2017-09-28 17:29:39 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2017-09-28 17:30:21 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
