IP: 122.15.146.120 TIME: 2018-02-01 09:12:20 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-02-01 09:12:21 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-02-01 09:24:54 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-02-01 09:24:55 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-02-01 09:25:23 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-02-01 10:23:43 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-02-01 10:23:43 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-02-01 11:35:38 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Purchase Edit Page
IP: 122.15.146.120 TIME: 2018-02-01 11:35:47 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-02-01 11:35:47 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
