IP: 122.15.146.120 TIME: 2017-11-06 08:50:09 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2017-11-06 08:50:10 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-06 09:41:13 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2017-11-06 09:41:14 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2017-11-06 09:41:42 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-06 09:56:30 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2017-11-06 09:56:31 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2017-11-06 09:56:48 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-06 10:50:17 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.75 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2017-11-06 10:50:18 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.75 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-06 14:20:48 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.75 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-06 15:11:21 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.75 Safari/537.36Action : Purchase order_361 has been downloaded as pdf
