IP: 122.15.146.120 TIME: 2018-10-20 15:34:07 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-10-20 15:34:07 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-10-20 15:34:16 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-10-20 15:34:18 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-10-20 15:34:40 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-10-20 15:41:50 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-10-20 15:41:51 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-10-20 15:42:17 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-10-20 15:42:55 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-10-20 15:42:56 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-10-20 15:43:51 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-10-20 15:44:05 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-10-20 15:44:06 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-10-20 15:45:29 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-10-20 17:27:37 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-10-20 17:27:38 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-10-20 17:28:03 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36Action :Order Page
