IP: 122.15.146.120 TIME: 2017-11-18 12:21:26 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2017-11-18 12:21:27 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-18 12:21:50 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase Duplicate Page
IP: 106.203.77.30 TIME: 2017-11-18 12:22:01 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase Duplicate Page
IP: 122.15.146.120 TIME: 2017-11-18 12:22:17 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:22:18 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:23:45 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2017-11-18 12:25:51 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-18 12:25:55 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 106.203.77.30 TIME: 2017-11-18 12:28:18 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action : PO-NO379Inserted
IP: 106.203.77.30 TIME: 2017-11-18 12:28:26 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 106.203.77.30 TIME: 2017-11-18 12:28:29 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:28:35 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:28:41 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 106.203.77.30 TIME: 2017-11-18 12:28:52 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:29:01 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:29:38 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 106.203.77.30 TIME: 2017-11-18 12:32:38 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action : PO-NO380Inserted
IP: 106.203.77.30 TIME: 2017-11-18 12:32:49 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 139.59.42.246 TIME: 2017-11-18 12:32:50 User:  USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0Action :Purchase New Page
IP: 106.203.77.30 TIME: 2017-11-18 12:32:53 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-18 12:34:11 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2017-11-18 12:34:11 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:35:56 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 106.203.77.30 TIME: 2017-11-18 12:38:01 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action : PO-NO379Inserted
IP: 106.203.77.30 TIME: 2017-11-18 12:38:47 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 106.203.77.30 TIME: 2017-11-18 12:38:50 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-18 12:41:36 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 16:30:04 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Logout
