IP: 122.15.146.122 TIME: 2016-12-15 16:30:20 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 16:30:22 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 16:30:32 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-12-15 16:30:56 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 16:30:57 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 16:31:00 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-12-15 16:31:07 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 16:31:42 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36Action : Admin Login
IP: 122.15.146.122 TIME: 2016-12-15 16:31:42 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 16:31:44 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 16:31:47 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36Action :PONO895 view
