IP: 122.15.146.120 TIME: 2018-01-06 09:05:47 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-01-06 09:05:48 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-06 10:02:14 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-01-06 10:02:14 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-06 11:29:39 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-01-06 11:29:40 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-06 12:07:27 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-01-06 12:07:38 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-01-06 12:07:39 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-06 12:07:43 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-01-06 12:07:44 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-01-06 12:08:21 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-06 13:07:30 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-01-06 13:07:31 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-01-06 13:08:04 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-06 13:10:38 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2018-01-06 13:10:39 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2018-01-06 13:11:11 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-06 15:51:25 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Login Failed
IP: 122.15.146.120 TIME: 2018-01-06 15:51:36 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2018-01-06 15:51:36 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2018-01-06 15:51:46 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36Action :Purchase New Page
